location_name,zone,time_window,avg_flow,avg_speed,avg_occupy,max_flow
VIT-AP Academic Block Road 1,VIT-AP Academic Block,0,2.881666666666667,12.249533248522534,0.0480277777777777,8
VIT-AP Academic Block Road 1,VIT-AP Academic Block,1,2.421666666666667,12.087609229440544,0.040361111111111,6
VIT-AP Academic Block Road 1,VIT-AP Academic Block,2,3.268333333333333,11.184751418171942,0.0544722222222221,7
VIT-AP Academic Block Road 1,VIT-AP Academic Block,3,1.4383333333333332,13.533235224061157,0.0239722222222221,5
VIT-AP Academic Block Road 1,VIT-AP Academic Block,4,3.41,11.388600644702576,0.0568333333333333,9
VIT-AP Academic Block Road 1,VIT-AP Academic Block,5,2.86,12.082629003639664,0.0476666666666666,9
VIT-AP Academic Block Road 1,VIT-AP Academic Block,6,3.47,10.971076041392685,0.0578333333333333,9
VIT-AP Academic Block Road 1,VIT-AP Academic Block,7,2.635,11.388094410017572,0.0439166666666666,10
VIT-AP Academic Block Road 1,VIT-AP Academic Block,8,2.4483333333333333,12.394136183434773,0.0408055555555555,7
VIT-AP Academic Block Road 1,VIT-AP Academic Block,9,3.245,11.356422407661318,0.0540833333333333,8
VIT-AP Academic Block Road 1,VIT-AP Academic Block,10,3.018333333333333,11.666014990414537,0.0503055555555555,12
VIT-AP Academic Block Road 1,VIT-AP Academic Block,11,3.7283333333333335,11.77462827314516,0.0621388888888888,9
VIT-AP Academic Block Road 3,VIT-AP Academic Block,0,3.036666666666666,11.589075574326417,0.050611111111111,11
VIT-AP Academic Block Road 3,VIT-AP Academic Block,1,2.135,12.584089895003803,0.0355833333333332,6
VIT-AP Academic Block Road 3,VIT-AP Academic Block,2,3.1166666666666667,12.069129057065588,0.0519444444444444,8
VIT-AP Academic Block Road 3,VIT-AP Academic Block,3,2.875,11.754184064166951,0.0479166666666666,7
VIT-AP Academic Block Road 3,VIT-AP Academic Block,4,1.8583333333333332,12.423456381203916,0.0309722222222221,6
VIT-AP Academic Block Road 3,VIT-AP Academic Block,5,2.993333333333333,11.73491394994082,0.0498888888888888,8
VIT-AP Academic Block Road 3,VIT-AP Academic Block,6,2.1766666666666667,12.301512651435289,0.0362777777777777,6
VIT-AP Academic Block Road 3,VIT-AP Academic Block,7,2.7183333333333333,12.409636322212986,0.0453055555555555,6
VIT-AP Academic Block Road 3,VIT-AP Academic Block,8,3.2583333333333333,11.57337775823127,0.0543055555555555,8
VIT-AP Academic Block Road 3,VIT-AP Academic Block,9,2.728333333333333,11.68405815247796,0.0454722222222221,6
VIT-AP Academic Block Road 3,VIT-AP Academic Block,10,2.776666666666667,11.594807059560909,0.0462777777777777,6
VIT-AP Academic Block Road 3,VIT-AP Academic Block,11,2.921666666666667,10.292554943791613,0.0486944444444444,5
VIT-AP Academic Block Road 5,VIT-AP Academic Block,0,1.0533333333333332,14.650192139189036,0.0175555555555555,5
VIT-AP Academic Block Road 5,VIT-AP Academic Block,1,2.2983333333333333,14.447452723011326,0.0383055555555555,6
VIT-AP Academic Block Road 5,VIT-AP Academic Block,2,1.8683333333333332,14.419432635992935,0.0311388888888888,6
VIT-AP Academic Block Road 5,VIT-AP Academic Block,3,2.6466666666666665,14.151220246985352,0.044111111111111,9
VIT-AP Academic Block Road 5,VIT-AP Academic Block,4,2.53,14.105644542335527,0.0421666666666666,6
VIT-AP Academic Block Road 5,VIT-AP Academic Block,5,2.388333333333333,14.343114652731552,0.0398055555555555,8
VIT-AP Academic Block Road 5,VIT-AP Academic Block,6,3.045,14.19633738214681,0.0507499999999999,9
VIT-AP Academic Block Road 5,VIT-AP Academic Block,7,3.01,14.134544754348555,0.0501666666666666,10
VIT-AP Academic Block Road 5,VIT-AP Academic Block,8,3.1533333333333333,14.041399762429563,0.0525555555555555,10
VIT-AP Academic Block Road 5,VIT-AP Academic Block,9,2.715,14.166948449526354,0.0452499999999999,7
